user_id,transaction_frequency_24h,transaction_frequency_7d,avg_tx_amount_user,deviation_from_avg_tx,login_location_velocity,account_device_count,account_ip_count,new_device_flag,multiple_cards_on_account,name_mismatch_score,card_attempts_last_24h,multiple_cards_same_ip,session_length,checkout_speed,time_of_day_risk,prior_chargeback_flag,prior_fraud_ip_flag,payment_method,shipping_country,billing_country,item_category,fraud_label
U50769,0,3,395.0,-0.82,0,6,6,1,0,0.34,0,1,790.1,21.9,0,0,0,credit_card,Tunisia,Algeria,fashion,0
U52391,3,6,185.57,-0.17,0,3,2,0,0,0.15,0,0,529.7,133.3,0,0,0,credit_card,Tunisia,Tunisia,fashion,0
U55611,1,2,304.54,0.28,0,3,5,0,0,0.35,0,0,1712.2,329.2,0,0,0,credit_card,Egypt,Egypt,fashion,0
U57581,2,6,41.65,1.19,0,2,2,0,0,0.57,0,1,1061.4,50.0,0,0,0,debit_card,Egypt,Egypt,electronics,0
U56949,2,6,163.97,0.22,0,1,2,1,0,0.11,0,0,1332.9,218.9,0,0,0,debit_card,Tunisia,Tunisia,luxury,0
U52433,2,4,240.52,-0.69,0,1,3,0,0,0.59,0,1,969.2,118.4,0,0,0,debit_card,Algeria,Algeria,beauty,0
U55311,3,4,305.45,-0.98,0,5,3,0,1,0.21,0,1,1510.8,528.3,0,0,0,google_pay,Libya,Libya,beauty,0
U55051,2,5,220.79,0.22,0,2,4,0,1,0.47,1,0,203.1,164.2,1,0,0,apple_pay,Egypt,Egypt,fashion,0
U56420,0,1,215.81,-0.81,0,5,2,0,1,0.24,1,0,1309.2,393.0,0,0,0,apple_pay,Algeria,Algeria,luxury,0
U51184,3,4,310.28,-0.94,0,3,1,0,0,0.24,0,0,1388.6,441.7,0,0,0,debit_card,Tunisia,Egypt,fashion,0
U54555,0,2,139.05,3.77,0,3,3,0,0,0.4,0,0,667.7,87.0,0,0,0,paypal,Libya,Libya,beauty,0
U53385,0,2,54.43,-0.06,0,3,3,0,0,0.29,0,0,181.2,77.3,0,0,1,credit_card,Libya,Libya,luxury,0
U54117,1,3,151.92,-0.88,0,4,5,0,0,0.45,0,0,1186.3,545.9,0,0,0,paypal,Algeria,Algeria,gift_cards,0
U56396,0,1,80.42,-0.44,0,3,2,0,0,0.15,0,0,568.3,99.0,0,0,0,credit_card,Morocco,Algeria,electronics,0
U54843,0,1,387.06,-0.77,0,2,3,0,0,0.61,0,0,1063.1,332.8,0,0,0,paypal,Morocco,Morocco,luxury,0
U52904,2,3,239.45,-0.95,1,3,2,0,0,0.07,0,0,1589.4,364.3,0,0,0,bank_transfer,Egypt,Egypt,groceries,0
U57728,3,8,189.71,-0.72,1,4,2,1,0,0.41,0,0,1502.6,195.2,0,0,0,debit_card,Libya,Libya,electronics,1
U50474,1,4,366.58,-0.64,0,3,5,0,0,0.18,0,0,1049.3,291.8,0,0,1,credit_card,Tunisia,Tunisia,electronics,0
U51082,2,4,362.14,-0.18,0,4,4,0,0,0.26,0,0,222.2,185.7,0,0,0,credit_card,Algeria,Algeria,home,0
U52558,2,4,177.96,-0.65,0,1,1,0,0,0.27,0,0,822.1,497.1,0,0,0,credit_card,Egypt,Egypt,home,0
U57849,1,2,352.4,-0.71,0,5,2,0,0,0.03,0,0,1314.7,95.8,0,0,0,paypal,Algeria,Algeria,groceries,0
U52047,1,1,44.33,1.7,0,2,2,0,0,0.2,0,0,1033.6,185.3,0,0,0,credit_card,Libya,Libya,fashion,0
U57643,1,5,356.57,-0.97,0,2,1,0,0,0.06,0,0,612.8,306.4,0,1,0,debit_card,Egypt,Egypt,groceries,0
U52747,4,5,138.02,-0.63,0,2,2,0,3,0.09,0,0,575.9,183.5,0,0,0,credit_card,Morocco,Morocco,gift_cards,0
U50975,0,2,234.75,-0.41,1,4,2,0,1,0.18,2,0,1230.9,517.9,0,0,0,debit_card,Morocco,Morocco,gift_cards,0
U51806,2,5,122.48,0.3,0,1,1,0,0,0.45,0,1,1148.1,537.6,0,0,0,paypal,Tunisia,Tunisia,home,0
U50189,2,3,394.22,-0.86,0,4,4,0,0,0.06,0,0,1078.3,484.3,0,0,0,bank_transfer,Libya,Libya,groceries,0
U57101,2,3,47.28,-0.96,1,3,4,1,0,0.33,0,0,1715.1,531.9,1,0,0,credit_card,Libya,Egypt,fashion,0
U52734,0,0,189.84,-0.99,0,2,4,0,0,0.29,0,0,1613.9,261.0,0,0,0,apple_pay,Tunisia,Tunisia,groceries,0
U53005,0,2,255.98,-0.64,0,3,4,1,0,0.24,0,0,585.8,325.9,0,0,0,debit_card,Tunisia,Tunisia,beauty,0
U54658,3,4,253.93,-0.62,0,3,4,0,0,0.31,0,0,470.7,382.5,0,0,0,google_pay,Egypt,Egypt,fashion,0
U51899,0,2,300.73,-0.67,0,4,4,0,2,0.58,0,0,1663.2,470.0,0,0,0,apple_pay,Morocco,Morocco,home,0
U57734,1,5,295.28,-0.48,0,4,2,0,0,0.35,0,0,398.7,212.7,0,0,0,credit_card,Libya,Libya,fashion,0
U51267,4,7,321.39,-0.05,0,3,5,1,0,0.24,0,0,1759.6,41.6,0,0,0,google_pay,Tunisia,Morocco,beauty,0
U56975,1,2,109.03,4.05,0,1,1,0,0,0.06,0,0,411.3,522.2,0,0,0,debit_card,Egypt,Egypt,groceries,0
U51528,1,4,160.79,-0.1,0,2,2,0,0,0.18,0,0,221.7,464.5,0,0,0,credit_card,Libya,Libya,home,0
U53202,2,3,165.17,-0.47,0,2,3,0,0,0.36,0,0,721.5,300.6,0,0,0,apple_pay,Algeria,Algeria,luxury,0
U53556,2,2,383.22,-0.95,0,6,1,0,0,0.12,0,1,1624.8,54.5,0,0,0,credit_card,Libya,Libya,luxury,0
U53890,0,3,175.54,-0.66,0,3,5,0,0,0.28,0,0,1324.5,263.5,0,0,0,apple_pay,Algeria,Algeria,beauty,0
U50646,0,2,104.31,-0.02,0,6,3,0,0,0.25,0,0,1089.5,36.7,0,0,0,credit_card,Morocco,Morocco,electronics,0
U56164,0,4,260.29,2.94,0,3,6,1,0,0.18,0,0,1271.8,327.0,0,0,0,apple_pay,Egypt,Egypt,electronics,0
U52888,2,3,182.36,-0.91,0,3,2,1,0,0.26,0,0,950.7,49.7,1,0,0,bank_transfer,Morocco,Morocco,gift_cards,0
U56310,1,4,115.03,0.64,0,4,3,0,2,0.36,0,0,592.6,446.9,0,0,0,bank_transfer,Morocco,Tunisia,home,0
U55393,0,2,291.75,1.81,0,3,4,0,0,0.1,0,0,909.7,76.8,0,0,0,credit_card,Libya,Libya,beauty,0
U52435,1,1,92.93,1.1,0,2,6,0,0,0.4,1,1,702.2,222.1,1,0,0,credit_card,Libya,Libya,home,0
U50600,1,2,260.67,-0.33,0,2,2,1,1,0.05,0,0,1389.4,185.3,1,0,0,credit_card,Morocco,Libya,beauty,0
U52363,0,2,183.6,-0.8,0,2,2,0,0,0.67,0,0,325.1,130.8,0,0,0,credit_card,Egypt,Egypt,home,0
U52061,2,6,141.28,-0.99,0,4,1,1,0,0.3,1,1,826.2,568.9,0,0,0,credit_card,Libya,Libya,luxury,0
U50241,3,3,379.47,-0.92,0,1,2,1,0,0.4,0,0,218.8,454.3,1,0,0,debit_card,Algeria,Algeria,fashion,0
U52041,2,2,143.27,0.3,0,3,2,0,1,0.08,0,0,106.6,451.6,0,0,0,bank_transfer,Morocco,Morocco,gift_cards,0
U52824,0,2,152.05,-0.9,0,3,5,0,0,0.05,0,0,441.5,237.9,0,0,0,google_pay,Libya,Libya,beauty,0
U57513,0,3,350.84,-0.88,0,3,2,1,1,0.48,0,0,315.0,438.9,0,0,0,credit_card,Egypt,Egypt,electronics,0
U52612,0,2,69.04,0.43,1,4,3,0,0,0.37,0,0,1413.9,296.9,0,0,0,apple_pay,Libya,Libya,home,0
U57041,4,5,61.07,0.69,0,2,2,0,0,0.27,0,0,313.9,281.3,0,0,0,google_pay,Libya,Libya,fashion,0
U51363,0,3,127.43,-0.26,0,1,6,0,2,0.09,0,1,1220.1,491.3,0,0,0,debit_card,Tunisia,Morocco,luxury,0
U56235,3,4,244.82,0.94,0,2,3,0,0,0.2,0,0,920.1,211.5,0,0,0,credit_card,Egypt,Egypt,fashion,0
U55486,2,3,166.03,-0.99,0,3,5,0,0,0.55,0,0,669.2,58.6,0,0,0,paypal,Libya,Libya,home,0
U57099,2,7,251.25,-0.68,0,2,5,0,0,0.22,1,0,139.2,34.3,0,0,0,credit_card,Tunisia,Tunisia,groceries,0
U51478,4,5,80.71,0.04,0,2,4,0,0,0.31,0,0,767.9,508.0,0,0,0,credit_card,Morocco,Morocco,electronics,0
U57595,0,1,119.35,-0.65,0,3,3,0,0,0.14,0,0,1036.6,479.7,1,0,0,apple_pay,Libya,Libya,electronics,0
U52556,3,4,234.76,-0.62,0,5,3,0,0,0.34,1,0,238.3,334.7,0,0,0,credit_card,Egypt,Egypt,beauty,0
U50775,3,5,102.52,0.31,1,2,3,1,0,0.65,0,0,1640.1,210.4,0,0,0,paypal,Algeria,Algeria,electronics,0
U54014,2,4,180.67,-0.26,0,1,4,0,1,0.12,0,0,226.1,145.0,0,0,0,debit_card,Morocco,Morocco,fashion,0
U50034,3,5,237.61,-0.95,0,2,5,0,0,0.23,1,0,1500.1,498.6,0,0,0,debit_card,Tunisia,Tunisia,fashion,0
U56349,0,1,389.99,-0.5,0,4,3,0,0,0.27,0,0,1416.3,73.7,0,0,0,credit_card,Egypt,Tunisia,electronics,0
U53152,0,1,50.36,5.26,0,4,4,0,0,0.29,0,0,1595.9,510.3,0,0,0,credit_card,Libya,Egypt,fashion,0
U51955,1,4,194.96,-0.91,0,2,3,0,0,0.2,0,0,217.9,185.1,0,0,0,credit_card,Tunisia,Tunisia,electronics,0
U51585,1,2,170.58,-0.62,0,4,1,0,0,0.24,0,0,844.5,135.7,0,0,0,google_pay,Egypt,Egypt,groceries,0
U53943,5,5,333.21,-0.74,1,3,4,1,0,0.34,0,0,586.7,557.8,0,0,0,apple_pay,Morocco,Tunisia,electronics,0
U57555,0,1,362.11,-0.95,0,2,4,1,2,0.2,1,1,1243.6,239.2,0,0,0,credit_card,Algeria,Algeria,groceries,0
U53073,1,5,364.67,-0.77,0,3,10,0,1,0.22,0,0,361.2,572.8,1,0,0,credit_card,Morocco,Morocco,electronics,0
U51021,3,4,162.55,-0.82,0,1,3,1,0,0.31,2,0,189.2,388.2,0,0,0,credit_card,Algeria,Algeria,electronics,0
U53461,0,1,135.77,1.41,0,4,1,0,0,0.32,0,0,417.3,365.1,1,1,0,credit_card,Algeria,Algeria,luxury,0
U52613,2,2,190.67,-0.62,0,4,3,0,0,0.25,0,0,1785.7,232.0,0,0,0,paypal,Libya,Libya,groceries,0
U55225,1,4,150.71,3.18,0,2,4,0,0,0.52,0,0,481.4,160.1,0,0,0,credit_card,Egypt,Egypt,electronics,1
U53843,2,5,293.16,-0.98,0,3,7,0,0,0.41,1,0,537.3,68.4,0,0,0,debit_card,Libya,Libya,fashion,0
U57989,2,4,101.16,-0.83,0,3,2,0,0,0.16,2,0,1307.7,354.4,0,0,0,paypal,Egypt,Algeria,electronics,0
U51500,2,2,270.3,-0.74,0,2,4,0,0,0.25,0,0,581.8,34.8,0,0,0,credit_card,Libya,Libya,groceries,0
U54798,0,0,372.26,-0.33,0,2,2,1,0,0.29,0,0,965.3,246.3,0,0,0,debit_card,Egypt,Egypt,electronics,0
U56545,0,2,126.37,-0.23,0,5,4,1,0,0.07,0,0,1359.0,516.0,0,0,0,debit_card,Libya,Libya,gift_cards,0
U56873,0,2,277.22,-0.43,0,6,1,1,1,0.18,0,0,622.7,547.2,0,0,0,credit_card,Egypt,Egypt,fashion,0
U55675,2,2,74.55,-0.11,0,2,5,0,0,0.09,0,0,668.4,261.9,0,0,0,debit_card,Egypt,Egypt,fashion,0
U50161,1,4,66.13,-0.91,0,2,5,0,0,0.38,0,0,425.2,213.6,0,1,0,credit_card,Libya,Libya,groceries,0
U54297,4,6,63.94,0.94,0,3,2,0,0,0.18,0,0,1357.3,312.2,0,1,0,debit_card,Morocco,Morocco,fashion,0
U51981,1,2,72.64,0.65,0,1,2,1,0,0.44,0,1,1787.5,66.3,0,0,0,debit_card,Libya,Libya,home,0
U50995,3,5,102.14,-0.9,0,4,5,0,1,0.22,1,0,140.4,69.5,0,0,0,credit_card,Egypt,Morocco,fashion,0
U56413,4,6,233.88,-0.9,0,2,2,0,0,0.22,0,0,750.4,28.4,1,1,0,apple_pay,Egypt,Egypt,beauty,0
U54911,2,5,311.45,-0.75,0,1,6,0,1,0.33,1,0,637.6,524.4,0,0,0,paypal,Morocco,Morocco,electronics,0
U53342,1,3,68.21,0.04,0,1,4,1,0,0.15,0,0,658.0,478.4,0,0,0,credit_card,Morocco,Morocco,fashion,0
U54551,2,4,350.61,-0.52,0,4,5,0,0,0.16,0,0,957.9,159.1,0,0,0,credit_card,Egypt,Egypt,luxury,0
U57629,0,2,340.23,-0.82,0,2,2,0,1,0.3,0,0,1195.9,414.9,0,0,0,credit_card,Egypt,Tunisia,gift_cards,0
U53798,2,4,296.41,-0.56,1,2,2,1,0,0.37,0,0,899.5,535.0,0,0,0,credit_card,Egypt,Egypt,electronics,0
U51275,1,1,181.87,-0.19,0,1,3,0,1,0.07,0,0,1377.7,489.2,0,0,0,apple_pay,Algeria,Algeria,beauty,0
U51016,3,4,20.59,4.8,0,1,1,0,0,0.4,0,0,142.0,119.5,0,1,0,debit_card,Morocco,Morocco,fashion,0
U57869,2,5,299.21,-0.63,0,2,3,0,2,0.33,0,1,1447.3,181.6,0,0,0,paypal,Libya,Libya,fashion,0
U56439,0,4,354.01,-0.44,0,2,3,0,0,0.03,1,0,1592.4,174.4,0,0,0,debit_card,Morocco,Morocco,electronics,0
U57892,0,1,147.41,-0.13,0,3,5,0,0,0.33,2,0,1087.5,270.3,1,0,0,debit_card,Algeria,Algeria,electronics,0
U56863,1,4,292.84,-0.26,0,4,1,0,0,0.33,0,0,596.1,292.1,0,0,0,credit_card,Morocco,Algeria,electronics,0
U57916,2,6,43.58,1.75,0,1,7,0,0,0.15,0,0,868.7,176.3,0,0,0,credit_card,Egypt,Egypt,home,0
U50337,1,3,289.61,-0.93,0,1,5,0,0,0.35,1,0,1083.9,511.3,0,0,0,google_pay,Libya,Libya,beauty,0
U50878,4,5,45.96,-0.03,1,4,4,0,2,0.33,0,0,1439.4,42.3,0,0,1,bank_transfer,Egypt,Egypt,home,0
U51076,2,3,243.13,-0.8,0,3,2,0,0,0.18,1,0,1417.5,311.6,0,0,1,apple_pay,Tunisia,Tunisia,fashion,0
U54887,1,6,247.07,-0.95,0,2,4,0,0,0.42,1,0,644.7,216.8,1,0,0,bank_transfer,Libya,Tunisia,beauty,0
U53993,1,3,134.82,0.05,0,6,2,0,0,0.18,0,0,796.5,484.9,0,0,0,debit_card,Libya,Morocco,fashion,0
U56360,2,3,50.07,1.14,0,1,2,0,0,0.46,0,0,1384.5,568.1,0,0,0,google_pay,Tunisia,Tunisia,fashion,0
U54859,1,1,380.75,-0.72,0,1,5,0,0,0.24,0,0,788.2,71.3,0,0,0,debit_card,Morocco,Morocco,gift_cards,0
U56331,1,2,223.52,-0.65,0,5,1,0,2,0.21,0,0,1154.3,271.9,0,0,0,apple_pay,Tunisia,Tunisia,sports,0
U50379,3,4,240.31,-0.61,0,1,2,0,0,0.63,0,0,1776.8,248.9,0,0,0,credit_card,Morocco,Morocco,electronics,0
U50492,4,6,253.71,-0.99,0,2,1,0,0,0.24,1,0,1517.8,17.4,0,0,1,debit_card,Egypt,Libya,beauty,0
U57208,0,2,358.6,-0.96,0,2,2,1,0,0.1,0,0,415.9,517.5,0,0,0,debit_card,Tunisia,Tunisia,gift_cards,0
U55276,0,0,42.9,2.17,0,1,5,0,2,0.43,0,0,759.0,129.8,0,0,0,bank_transfer,Algeria,Algeria,beauty,0
U52062,1,1,359.45,-0.9,1,1,4,0,0,0.42,0,0,995.1,56.5,0,0,0,credit_card,Libya,Libya,electronics,0
U53884,1,8,111.08,-0.87,0,2,2,0,0,0.36,0,0,1088.7,544.6,0,0,0,bank_transfer,Tunisia,Tunisia,beauty,0
U50064,0,0,49.62,-0.04,0,2,1,0,0,0.3,1,0,557.2,175.5,0,0,0,bank_transfer,Morocco,Morocco,electronics,0
U52568,2,6,269.76,-0.87,0,1,1,0,1,0.42,0,0,1657.9,336.3,0,0,0,credit_card,Morocco,Morocco,sports,0
U55463,1,2,391.25,-0.99,1,4,1,0,1,0.28,0,0,1640.5,341.4,0,0,0,credit_card,Tunisia,Tunisia,home,0
U55248,2,5,41.75,0.51,0,3,2,0,0,0.26,0,0,320.1,599.8,0,0,0,credit_card,Libya,Libya,fashion,0
U52027,2,3,181.93,-0.98,0,2,2,0,0,0.09,0,0,1675.6,496.1,0,0,0,debit_card,Algeria,Algeria,fashion,0
U52695,0,3,221.32,-1.0,0,3,4,0,1,0.13,0,0,818.4,142.7,0,0,0,debit_card,Tunisia,Algeria,groceries,0
U51495,0,1,115.81,0.62,1,3,3,0,1,0.21,1,0,805.6,368.6,0,0,0,bank_transfer,Algeria,Algeria,electronics,0
U57230,2,5,393.49,-0.88,0,2,2,0,0,0.08,1,0,353.5,19.5,0,0,0,credit_card,Libya,Libya,luxury,0
U55258,2,2,263.57,-0.62,0,4,2,0,0,0.08,0,0,178.5,348.6,0,0,0,credit_card,Egypt,Egypt,electronics,0
U55618,1,3,340.85,-0.87,0,3,4,0,0,0.41,0,0,469.8,555.7,0,0,0,credit_card,Morocco,Morocco,fashion,0
U56736,0,2,178.0,0.79,0,3,3,1,0,0.21,1,0,1587.7,52.7,0,0,0,credit_card,Egypt,Egypt,groceries,1
U50391,0,1,154.5,0.01,0,6,2,0,0,0.25,0,0,750.4,65.2,0,0,0,google_pay,Algeria,Libya,groceries,0
U55794,0,3,230.2,-0.76,0,3,2,0,0,0.37,1,0,1657.7,30.3,0,0,0,paypal,Libya,Libya,electronics,0
U54514,2,4,185.41,-0.84,0,4,2,0,0,0.27,0,0,1091.5,344.4,0,0,0,debit_card,Tunisia,Tunisia,fashion,0
U56432,0,0,291.68,-0.94,0,3,5,0,0,0.2,0,0,44.6,213.1,1,0,0,credit_card,Algeria,Algeria,fashion,0
U54474,1,4,121.01,0.42,1,1,3,0,0,0.2,1,0,615.6,55.3,0,0,0,debit_card,Egypt,Egypt,luxury,0
U55892,1,2,190.84,-0.62,0,4,5,0,0,0.1,0,0,255.8,145.5,0,0,0,bank_transfer,Libya,Libya,home,0
U53561,4,8,360.15,-0.91,0,1,4,0,0,0.21,0,1,1349.5,543.8,1,0,0,credit_card,Libya,Libya,luxury,0
U52278,0,1,307.32,-0.02,0,2,3,0,0,0.4,0,0,1228.3,203.8,1,0,0,credit_card,Morocco,Morocco,luxury,0
U57161,0,1,83.87,-0.29,0,4,3,0,1,0.2,0,0,434.4,99.2,0,0,0,credit_card,Morocco,Egypt,electronics,0
U56184,2,5,357.01,-0.73,0,1,2,0,0,0.25,1,0,399.2,232.9,0,0,0,google_pay,Algeria,Algeria,beauty,0
U53099,0,2,243.83,-0.04,1,1,1,0,0,0.05,1,0,1627.4,197.6,0,0,0,credit_card,Morocco,Egypt,luxury,0
U56278,2,4,278.13,-0.23,0,1,2,1,0,0.35,0,0,237.8,397.5,0,0,0,bank_transfer,Libya,Libya,fashion,0
U50200,1,2,131.82,-0.07,0,2,7,0,0,0.33,0,0,88.4,150.8,0,0,0,credit_card,Algeria,Algeria,home,0
U55959,1,4,187.79,0.4,0,3,4,0,0,0.36,0,0,678.3,8.5,0,0,0,paypal,Egypt,Egypt,electronics,0
U54875,0,1,326.59,0.12,1,2,2,0,0,0.23,0,0,1027.9,449.7,0,0,0,credit_card,Morocco,Morocco,home,0
U57073,1,2,145.66,1.24,1,4,3,0,0,0.27,1,0,1656.8,304.0,1,0,0,bank_transfer,Libya,Libya,fashion,0
U53104,2,5,82.72,-0.37,1,3,3,0,0,0.08,0,0,1643.4,130.8,0,0,0,credit_card,Morocco,Morocco,groceries,0
U57215,2,6,163.76,-0.63,0,5,2,0,0,0.28,0,0,277.1,255.6,0,0,0,bank_transfer,Tunisia,Tunisia,electronics,0
U54598,3,5,46.3,-0.28,0,4,3,1,0,0.16,0,0,1422.9,276.2,0,0,0,credit_card,Tunisia,Tunisia,home,0
U52454,2,3,292.79,-0.26,0,2,2,0,0,0.17,0,0,1684.0,544.3,0,0,0,debit_card,Libya,Libya,home,0
U53645,0,1,76.14,-0.78,0,3,3,0,0,0.08,1,0,1505.3,15.4,0,0,0,credit_card,Algeria,Egypt,fashion,0
U55847,0,2,128.35,-0.59,0,4,3,0,1,0.66,0,0,763.2,558.3,0,0,0,credit_card,Libya,Libya,fashion,1
U50804,1,3,354.81,-0.99,0,1,2,1,1,0.47,0,0,397.7,26.5,0,0,1,credit_card,Algeria,Egypt,groceries,0
U56242,0,0,225.39,-0.52,0,1,2,0,1,0.13,0,0,1650.6,592.3,0,0,0,credit_card,Tunisia,Tunisia,electronics,0
U52731,1,2,142.11,-0.09,0,2,1,0,0,0.18,1,0,971.7,306.1,1,0,0,debit_card,Egypt,Morocco,luxury,1
U55991,0,1,228.11,-0.85,0,3,2,0,0,0.56,0,1,478.1,268.5,0,0,0,credit_card,Algeria,Morocco,beauty,0
U52773,0,1,102.95,0.55,1,1,3,0,0,0.52,1,3,602.6,439.0,0,0,0,debit_card,Libya,Libya,gift_cards,0
U51570,0,1,29.57,0.92,0,1,6,0,1,0.16,0,0,1024.3,21.4,0,0,0,apple_pay,Algeria,Algeria,luxury,0
U55056,0,2,249.42,-0.82,0,5,1,0,0,0.31,1,0,749.0,500.8,1,0,0,apple_pay,Libya,Libya,electronics,0
U57906,1,3,291.37,0.29,0,2,3,0,0,0.53,0,0,100.8,542.7,0,0,0,bank_transfer,Morocco,Morocco,groceries,0
U56756,0,1,354.32,-0.7,0,3,3,0,0,0.26,0,0,1046.7,43.3,0,0,0,credit_card,Libya,Libya,electronics,0
U55581,2,4,313.32,-0.89,1,3,5,0,0,0.23,0,0,748.3,284.0,0,0,0,credit_card,Morocco,Morocco,luxury,0
U52690,1,3,372.14,0.32,0,1,2,0,0,0.22,0,1,868.0,218.0,0,0,0,credit_card,Morocco,Tunisia,beauty,0
U53840,1,2,394.66,-0.85,0,1,4,0,0,0.45,0,0,1362.2,444.4,0,0,1,debit_card,Egypt,Libya,electronics,0
U51028,2,3,303.08,-0.58,0,1,3,1,0,0.42,0,0,75.5,457.4,0,0,0,debit_card,Tunisia,Tunisia,electronics,0
U57385,1,4,349.81,-0.56,0,2,3,0,0,0.37,0,0,146.3,358.3,0,0,0,google_pay,Algeria,Algeria,groceries,0
U50502,3,6,276.02,-0.76,0,2,5,0,0,0.32,0,0,31.8,490.5,0,0,0,debit_card,Tunisia,Tunisia,beauty,0
U56910,1,4,84.96,0.08,0,3,2,0,0,0.3,0,0,781.7,401.8,1,1,0,apple_pay,Libya,Libya,electronics,0
U54493,2,3,89.05,-0.62,1,2,3,0,0,0.14,1,0,526.4,301.0,0,0,0,debit_card,Tunisia,Tunisia,home,0
U50870,1,5,61.9,0.21,1,2,6,0,0,0.11,0,0,754.7,341.2,1,0,0,credit_card,Tunisia,Tunisia,sports,0
U56938,1,4,378.33,-0.88,0,2,1,0,1,0.18,0,0,1051.6,188.3,1,0,0,bank_transfer,Tunisia,Tunisia,electronics,0
U54488,3,7,275.65,-0.65,0,3,3,0,0,0.29,0,0,44.7,271.8,0,0,0,apple_pay,Algeria,Algeria,electronics,0
U50206,3,4,320.17,-0.58,0,2,4,0,0,0.54,0,0,310.4,561.7,0,1,0,debit_card,Libya,Libya,electronics,0
U55134,1,1,145.84,-0.22,0,1,1,1,0,0.15,0,0,256.0,450.5,0,0,0,debit_card,Egypt,Egypt,electronics,0
U55977,1,5,194.96,-0.08,0,1,2,1,0,0.6,1,0,1129.5,137.7,0,0,0,debit_card,Morocco,Morocco,beauty,1
U57721,1,2,35.12,-0.83,0,4,2,0,0,0.38,0,2,1076.4,59.6,0,0,0,credit_card,Libya,Libya,fashion,0
U57035,3,4,357.82,-0.97,0,2,3,0,0,0.04,0,0,167.3,46.0,0,0,0,credit_card,Egypt,Egypt,electronics,0
U51484,0,4,344.14,-0.92,0,3,1,1,0,0.08,0,0,1448.7,511.9,0,0,0,credit_card,Egypt,Egypt,fashion,0
